X11,X12,X13,X14,X15,X16,X21,X22,X23,X24,X25,X26,X27,X28,Z1,Z2,Z3,Z4,Z5,Z6,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12
5,3,4,4,5,5,3,5,5,4,5,4,4,5,5,5,4,5,4,1,4,5,5,4,5,5,4,5,5,5,4,4
3,3,4,5,3,4,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,4,4,5,5,4,5,4,4,4,4,3
4,4,4,3,4,5,4,5,4,4,4,3,5,5,4,4,5,4,4,4,4,5,3,5,4,4,4,5,5,5,4,4
4,4,5,4,4,4,4,3,4,4,5,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,3
5,4,4,4,3,4,4,5,5,5,4,4,5,4,4,5,4,5,4,5,4,5,4,5,5,5,4,5,3,3,3,4
5,3,4,5,3,4,5,5,5,4,4,5,4,5,4,4,5,3,5,4,4,4,5,4,5,5,5,4,5,4,3,3
3,4,4,3,5,4,3,5,5,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,5,4,4,1,1,4,4,4
4,3,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,5,4,4,5
4,4,4,3,4,4,4,1,4,3,4,3,4,5,4,5,5,5,5,4,4,4,3,4,4,4,5,4,4,5,5,4
3,3,3,5,4,4,5,4,5,3,5,5,5,4,5,4,5,5,4,4,4,4,5,5,5,3,4,4,4,4,4,4
5,3,4,4,3,4,4,3,5,5,4,4,4,5,4,5,5,3,4,5,4,5,5,4,5,4,5,4,4,3,4,5
5,3,4,3,5,4,5,5,4,4,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5
4,5,4,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5,5
5,4,4,5,5,4,5,5,5,3,4,5,4,4,5,4,5,4,3,4,4,4,3,4,5,3,4,4,1,4,4,3
4,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,5,5,3,5
3,4,5,5,5,4,4,5,3,4,4,4,5,3,5,5,5,4,4,4,4,5,5,5,3,4,4,4,3,3,4,4
4,4,4,4,5,4,5,4,4,5,5,3,4,5,5,5,5,5,5,4,4,4,3,4,4,3,4,4,5,4,5,3
4,4,4,4,5,4,3,4,4,5,4,4,5,5,4,5,5,4,4,4,4,1,5,5,4,5,5,5,5,5,4,4
3,4,4,3,5,4,4,4,5,4,5,5,4,5,4,5,4,4,5,1,4,4,5,4,5,4,4,4,3,3,4,4
5,4,5,3,3,4,3,5,5,4,4,4,5,5,5,4,5,5,4,4,5,3,1,5,5,4,5,5,5,4,4,4
3,4,3,5,4,4,5,4,4,4,4,5,4,4,5,5,4,5,4,5,5,4,5,5,4,4,5,4,5,4,4,4
5,3,3,4,3,5,4,4,5,5,5,3,5,5,4,5,4,5,4,5,3,5,4,4,5,4,4,4,4,4,5,5
3,3,3,3,3,4,5,4,4,3,4,3,5,5,4,3,5,5,5,5,5,4,5,5,5,4,4,5,5,3,5,5
5,3,4,3,5,3,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,4,5,4,4,4,5,3,5,4
4,4,3,5,3,4,5,5,4,4,4,5,5,4,4,5,5,5,1,4,4,4,5,4,4,4,5,5,3,3,3,5
2,3,4,2,3,4,3,4,4,5,5,3,4,4,5,3,4,4,5,5,5,5,3,5,4,4,5,4,4,4,4,4
4,3,3,2,3,4,4,3,4,5,5,3,4,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,3,4,5,5
3,3,4,4,3,4,5,5,5,3,4,5,5,5,5,3,4,4,4,4,5,4,5,4,5,4,5,4,3,4,3,5
4,4,4,4,4,3,3,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,3,5,3,4,4,4,4,3,4,4
3,3,4,4,4,5,4,3,5,4,4,4,3,3,5,4,4,5,5,5,4,4,4,3,5,3,5,5,4,4,5,4
2,3,3,2,3,4,3,4,4,3,5,4,4,5,4,5,5,4,4,5,5,4,5,4,4,4,5,4,4,4,5,5
4,3,4,3,3,5,5,5,5,4,4,4,4,5,4,4,5,5,4,5,4,5,5,4,5,3,4,4,4,3,3,4
4,4,5,4,4,4,3,5,4,4,5,5,5,3,5,5,4,5,4,5,4,5,3,5,4,4,4,5,4,4,5,4
5,5,4,4,3,4,4,5,5,4,4,3,4,3,5,5,4,3,5,5,5,5,5,4,5,4,5,5,4,3,5,5
4,5,3,3,4,5,5,4,5,5,5,4,5,5,5,5,4,4,5,4,4,4,5,5,5,4,4,5,3,3,5,5
5,4,4,4,4,3,4,5,3,4,4,4,5,3,5,5,5,4,4,4,4,5,5,5,3,3,4,5,4,4,3,4
4,5,4,3,3,5,5,4,4,5,5,3,4,5,5,5,5,5,5,4,4,4,3,4,4,4,5,5,3,4,5,4
4,5,4,4,5,4,3,4,4,5,4,4,5,5,4,5,5,4,4,4,4,1,5,5,4,4,5,4,3,4,4,5
